,Data,location,Total de Mortes,Novas Mortes no Dia
12957,26/07/2020,Brazil,87004.0,555.0
12958,27/07/2020,Brazil,87618.0,614.0
12959,28/07/2020,Brazil,88539.0,921.0
12960,29/07/2020,Brazil,90134.0,1595.0
12961,30/07/2020,Brazil,91263.0,1129.0
12962,31/07/2020,Brazil,92475.0,1212.0
12963,01/08/2020,Brazil,93563.0,1088.0
12964,02/08/2020,Brazil,94104.0,541.0
12965,03/08/2020,Brazil,94665.0,561.0
12966,04/08/2020,Brazil,95819.0,1154.0
12967,05/08/2020,Brazil,97256.0,1437.0
12968,06/08/2020,Brazil,98493.0,1237.0
12969,07/08/2020,Brazil,99572.0,1079.0
12970,08/08/2020,Brazil,100477.0,905.0
12971,09/08/2020,Brazil,101049.0,572.0
12972,10/08/2020,Brazil,101752.0,703.0
12973,11/08/2020,Brazil,103026.0,1274.0
12974,12/08/2020,Brazil,104201.0,1175.0
12975,13/08/2020,Brazil,105463.0,1262.0
12976,14/08/2020,Brazil,106523.0,1060.0
12977,15/08/2020,Brazil,107232.0,709.0
12978,16/08/2020,Brazil,107852.0,620.0
12979,17/08/2020,Brazil,108536.0,684.0
12980,18/08/2020,Brazil,109888.0,1352.0
12981,19/08/2020,Brazil,111100.0,1212.0
12982,20/08/2020,Brazil,112304.0,1204.0
12983,21/08/2020,Brazil,113358.0,1054.0
12984,22/08/2020,Brazil,114250.0,892.0
12985,23/08/2020,Brazil,114744.0,494.0
12986,24/08/2020,Brazil,115309.0,565.0
12987,25/08/2020,Brazil,116580.0,1271.0
12988,26/08/2020,Brazil,117665.0,1085.0
12989,27/08/2020,Brazil,118649.0,984.0
12990,28/08/2020,Brazil,119504.0,855.0
12991,29/08/2020,Brazil,120262.0,758.0
12992,30/08/2020,Brazil,120828.0,566.0
12993,31/08/2020,Brazil,121381.0,553.0
12994,01/09/2020,Brazil,122596.0,1215.0
12995,02/09/2020,Brazil,123780.0,1184.0
12996,03/09/2020,Brazil,124614.0,834.0
12997,04/09/2020,Brazil,125502.0,888.0
12998,05/09/2020,Brazil,126203.0,701.0
12999,06/09/2020,Brazil,126650.0,447.0
13000,07/09/2020,Brazil,126960.0,310.0
13001,08/09/2020,Brazil,127464.0,504.0
13002,09/09/2020,Brazil,128539.0,1075.0
13003,10/09/2020,Brazil,129522.0,983.0
13004,11/09/2020,Brazil,130396.0,874.0
13005,12/09/2020,Brazil,131210.0,814.0
13006,13/09/2020,Brazil,131625.0,415.0
13007,14/09/2020,Brazil,132006.0,381.0
13008,15/09/2020,Brazil,133119.0,1113.0
13009,16/09/2020,Brazil,134106.0,987.0
13010,17/09/2020,Brazil,134935.0,829.0
13011,18/09/2020,Brazil,135793.0,858.0
13012,19/09/2020,Brazil,136532.0,739.0
13013,20/09/2020,Brazil,136895.0,363.0
13014,21/09/2020,Brazil,137272.0,377.0
13015,22/09/2020,Brazil,138105.0,833.0
13016,23/09/2020,Brazil,138105.0,0.0
13017,24/09/2020,Brazil,139808.0,1703.0
13018,25/09/2020,Brazil,140537.0,729.0
13019,26/09/2020,Brazil,141406.0,869.0
13020,27/09/2020,Brazil,141741.0,335.0
13021,28/09/2020,Brazil,142058.0,317.0
13022,29/09/2020,Brazil,142921.0,863.0
13023,30/09/2020,Brazil,143952.0,1031.0
13024,01/10/2020,Brazil,144680.0,728.0
13025,02/10/2020,Brazil,144680.0,0.0
13026,03/10/2020,Brazil,145987.0,1307.0
13027,04/10/2020,Brazil,146352.0,365.0
13028,05/10/2020,Brazil,146675.0,323.0
13029,06/10/2020,Brazil,147494.0,819.0
13030,07/10/2020,Brazil,148228.0,734.0
13031,08/10/2020,Brazil,148957.0,729.0
13032,09/10/2020,Brazil,149639.0,682.0
13033,10/10/2020,Brazil,150198.0,559.0
13034,11/10/2020,Brazil,150488.0,290.0
13035,12/10/2020,Brazil,150689.0,201.0
13036,13/10/2020,Brazil,150998.0,309.0
13037,14/10/2020,Brazil,151747.0,749.0
13038,15/10/2020,Brazil,152460.0,713.0
13039,16/10/2020,Brazil,153214.0,754.0
13040,17/10/2020,Brazil,153675.0,461.0
13041,18/10/2020,Brazil,153675.0,0.0
13042,19/10/2020,Brazil,154176.0,501.0
13043,20/10/2020,Brazil,154837.0,661.0
13044,21/10/2020,Brazil,155403.0,566.0
13045,22/10/2020,Brazil,155900.0,497.0
